Address,AssetName,Battery_voltage,DatePart,Engine_Temp,Fuel_Used,Odo_counter,Power_voltage,Speed,Time,Trip,accuracy,airflow,altitude,brakeDist,brakeFlag,date,diffSpeed,engine,harsh_accl,harsh_brake,harsh_corner,heading,hours00counter,idlecounter,ignition,lat,lon,overspeed,rpm,totalDist_Date,totalDist_Trip
Home,Polo GT,3.8,2017-11-01,41.0 °C,,37196.75,13.04,29,09:21:09,1.0,9,17.0,23.0,0.0,0.0,2017-11-01 09:21:09,0.0,1,2.0,1.0,,221,1017.41,0.0,1,12.89343,80.17985,,1413.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.78,2017-11-01,41.0 °C,,37196.75,13.18,40,09:21:11,1.0,9,17.0,23.0,0.0,0.0,2017-11-01 09:21:11,11.0,1,2.0,1.0,,234,1017.41,0.0,1,12.89329,80.1797,,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Selaiyur, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,41.0 °C,,37196.85,13.2,42,09:21:14,1.0,10,17.0,23.0,0.0,0.0,2017-11-01 09:21:14,2.0,1,2.0,1.0,,241,1017.41,0.0,1,12.89312,80.17942,,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Selaiyur, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,45.0 °C,,37197.14,12.99,15,09:21:41,1.0,10,10.0,21.0,1.29,1.0,2017-11-01 09:21:41,-27.0,1,2.0,1.0,,248,1017.42,0.0,1,12.89149,80.17653,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Selaiyur, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,45.0 °C,,37197.25,13.23,18,09:21:43,1.0,11,10.0,21.0,0.0,0.0,2017-11-01 09:21:43,3.0,1,2.0,1.0,,241,1017.42,0.0,1,12.89144,80.17646,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,49.0 °C,,37197.34,13.15,48,09:22:01,1.0,11,43.0,16.0,0.0,0.0,2017-11-01 09:22:01,30.0,1,2.0,1.0,,231,1017.42,0.0,1,12.89043,80.17468,,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,49.0 °C,,37197.49,13.18,49,09:22:02,1.0,10,43.0,15.0,0.0,0.0,2017-11-01 09:22:02,1.0,1,2.0,1.0,,220,1017.42,0.0,1,12.89035,80.1746,,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,49.0 °C,,37197.49,13.18,49,09:22:03,1.0,11,43.0,15.0,0.0,0.0,2017-11-01 09:22:03,0.0,1,2.0,1.0,,210,1017.42,0.0,1,12.89024,80.17453,,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,49.0 °C,,37197.49,13.2,52,09:22:04,1.0,11,43.0,15.0,0.0,0.0,2017-11-01 09:22:04,3.0,1,2.0,1.0,,202,1017.42,0.0,1,12.89012,80.17448,,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,54.0 °C,,37197.95,13.18,67,09:22:33,1.0,11,18.0,12.0,0.0,0.0,2017-11-01 09:22:33,15.0,1,2.0,1.0,,204,1017.43,0.0,1,12.88644,80.17266,67 > 55,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,56.0 °C,,37198.34,13.15,36,09:23:00,1.0,11,7.0,10.0,7.41,1.0,2017-11-01 09:23:00,-31.0,1,2.0,1.0,,195,1017.44,0.0,1,12.88258,80.17069,,1734.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,56.0 °C,,37198.34,13.02,33,09:23:01,1.0,11,7.0,10.0,6.22,1.0,2017-11-01 09:23:01,-3.0,1,2.0,1.0,,180,1017.44,0.0,1,12.8825,80.17068,,1734.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,56.0 °C,,37198.48,13.02,33,09:23:02,1.0,11,7.0,10.0,0.0,0.0,2017-11-01 09:23:02,0.0,1,2.0,1.0,,164,1017.44,0.0,1,12.88242,80.1707,,1734.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,56.0 °C,,37198.48,13.15,33,09:23:03,1.0,11,7.0,10.0,0.0,0.0,2017-11-01 09:23:03,0.0,1,2.0,1.0,,147,1017.44,0.0,1,12.88235,80.17073,,1734.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,56.0 °C,,37198.48,13.15,30,09:23:04,1.0,11,7.0,10.0,5.14,1.0,2017-11-01 09:23:04,-3.0,1,2.0,1.0,,133,1017.44,0.0,1,12.8823,80.17078,,1734.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,58.0 °C,,37198.48,13.18,30,09:23:08,1.0,11,7.0,12.0,0.0,0.0,2017-11-01 09:23:08,0.0,1,2.0,1.0,,152,1017.44,0.0,1,12.88207,80.17101,,1028.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,58.0 °C,,37198.48,13.18,31,09:23:09,1.0,10,7.0,12.0,0.0,0.0,2017-11-01 09:23:09,1.0,1,2.0,1.0,,166,1017.44,0.0,1,12.88199,80.17103,,1028.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,58.0 °C,,37198.48,13.26,31,09:23:10,1.0,11,7.0,12.0,0.0,0.0,2017-11-01 09:23:10,0.0,1,2.0,1.0,,180,1017.44,0.0,1,12.88191,80.17103,,1028.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,58.0 °C,,37198.48,13.23,35,09:23:11,1.0,11,7.0,13.0,0.0,0.0,2017-11-01 09:23:11,4.0,1,2.0,1.0,,187,1017.44,0.0,1,12.88183,80.17102,,1028.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,58.0 °C,,37198.57,13.18,35,09:23:12,1.0,11,7.0,13.0,0.0,0.0,2017-11-01 09:23:12,0.0,1,2.0,1.0,,194,1017.44,0.0,1,12.88174,80.171,,1028.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,58.0 °C,,37198.69,13.23,40,09:23:23,1.0,11,7.0,14.0,0.0,0.0,2017-11-01 09:23:23,5.0,1,2.0,1.0,,201,1017.45,0.0,1,12.8807,80.17062,,1028.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,59.0 °C,,37198.8,13.04,37,09:23:33,1.0,11,16.0,13.0,7.82,1.0,2017-11-01 09:23:33,-3.0,1,2.0,1.0,,208,1017.45,0.0,1,12.87974,80.17016,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,59.0 °C,,37198.8,12.88,12,09:23:40,1.0,10,16.0,12.0,0.82,1.0,2017-11-01 09:23:40,-25.0,1,2.0,1.0,,201,1017.45,0.0,1,12.87942,80.16999,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,59.0 °C,,37198.87,13.2,8,09:23:43,1.0,11,16.0,10.0,0.37,1.0,2017-11-01 09:23:43,-4.0,1,2.0,1.0,,192,1017.45,0.0,1,12.87935,80.16997,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,59.0 °C,,37198.87,13.18,19,09:23:45,1.0,11,16.0,9.0,0.0,0.0,2017-11-01 09:23:45,11.0,1,2.0,1.0,,181,1017.45,0.0,1,12.87924,80.16996,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,61.0 °C,,37198.87,13.2,19,09:23:47,1.0,10,12.0,9.0,0.0,0.0,2017-11-01 09:23:47,0.0,1,2.0,1.0,,173,1017.45,0.0,1,12.8791,80.16997,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,61.0 °C,,37198.95,13.2,51,09:23:58,1.0,11,12.0,10.0,0.0,0.0,2017-11-01 09:23:58,32.0,1,2.0,1.0,,165,1017.46,0.0,1,12.87792,80.17018,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,63.0 °C,,37199.24,13.18,38,09:24:15,1.0,11,9.0,8.0,8.25,1.0,2017-11-01 09:24:15,-13.0,1,2.0,1.0,,154,1017.46,0.0,1,12.87584,80.17089,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,63.0 °C,,37199.24,13.18,43,09:24:17,1.0,11,9.0,8.0,0.0,0.0,2017-11-01 09:24:17,5.0,1,2.0,1.0,,147,1017.46,0.0,1,12.87567,80.171,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,65.0 °C,,37199.69,13.2,49,09:24:46,1.0,10,7.0,9.0,0.0,0.0,2017-11-01 09:24:46,6.0,1,2.0,1.0,,147,1017.47,0.0,1,12.87229,80.17322,,1927.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,68.0 °C,,37200.1,13.2,48,09:25:16,1.0,10,13.0,4.0,13.17,1.0,2017-11-01 09:25:16,-1.0,1,2.0,1.0,,148,1017.48,0.0,1,12.86925,80.17525,,1542.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,68.0 °C,,37200.24,13.07,32,09:25:27,1.0,10,13.0,3.0,5.85,1.0,2017-11-01 09:25:27,-16.0,1,2.0,1.0,,156,1017.48,0.0,1,12.86828,80.17588,,1542.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,69.0 °C,,37200.31,13.18,19,09:25:32,1.0,10,6.0,3.0,2.06,1.0,2017-11-01 09:25:32,-13.0,1,2.0,1.0,,166,1017.48,0.0,1,12.86808,80.17596,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,69.0 °C,,37200.31,13.23,19,09:25:33,1.0,10,6.0,3.0,0.0,0.0,2017-11-01 09:25:33,0.0,1,2.0,1.0,,173,1017.48,0.0,1,12.86802,80.17596,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,69.0 °C,,37200.31,13.2,28,09:25:34,1.0,10,6.0,3.0,0.0,0.0,2017-11-01 09:25:34,9.0,1,2.0,1.0,,180,1017.48,0.0,1,12.86795,80.17596,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,71.0 °C,,37200.5,13.23,46,09:25:57,1.0,10,11.0,6.0,0.0,0.0,2017-11-01 09:25:57,18.0,1,2.0,1.0,,187,1017.49,0.0,1,12.86584,80.17579,,1220.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,71.0 °C,,37200.62,13.18,40,09:26:05,1.0,10,11.0,8.0,9.14,1.0,2017-11-01 09:26:05,-6.0,1,2.0,1.0,,196,1017.49,0.0,1,12.86502,80.17565,,1220.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,71.0 °C,,37200.62,13.15,40,09:26:06,1.0,10,11.0,9.0,0.0,0.0,2017-11-01 09:26:06,0.0,1,2.0,1.0,,204,1017.49,0.0,1,12.86491,80.17561,,1220.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.78,2017-11-01,73.0 °C,,37200.76,13.18,59,09:26:17,1.0,10,28.0,10.0,0.0,0.0,2017-11-01 09:26:17,19.0,1,2.0,1.0,,211,1017.49,0.0,1,12.86356,80.17482,59 > 55,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Ottiambakkam, Sholinganallur, Tamil Nadu, India",Polo GT,3.8,2017-11-01,73.0 °C,,37200.92,13.2,65,09:26:26,1.0,10,28.0,11.0,0.0,0.0,2017-11-01 09:26:26,6.0,1,2.0,1.0,,204,1017.5,0.0,1,12.86233,80.1741,65 > 55,1413.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Kamakoti Nagar, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,78.0 °C,,37201.31,13.18,66,09:26:47,1.0,10,11.0,16.0,0.0,0.0,2017-11-01 09:26:47,1.0,1,2.0,1.0,,197,1017.5,0.0,1,12.85902,80.17268,66 > 45,1542.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Kamakoti Nagar, Chengalpattu, Tamil Nadu, India",Polo GT,3.78,2017-11-01,78.0 °C,,37201.31,13.15,61,09:26:49,1.0,10,11.0,15.0,21.26,1.0,2017-11-01 09:26:49,-5.0,1,2.0,1.0,,190,1017.5,0.0,1,12.85871,80.1726,61 > 45,1542.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.78,2017-11-01,80.0 °C,,37201.68,13.02,9,09:27:18,1.0,10,8.0,12.0,0.46,1.0,2017-11-01 09:27:18,-52.0,1,2.0,1.0,,190,1017.51,0.0,1,12.85643,80.17214,,1542.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,80.0 °C,,37201.72,13.02,6,09:27:27,1.0,10,8.0,15.0,0.21,1.0,2017-11-01 09:27:27,-3.0,1,2.0,1.0,,0,1017.51,0.0,1,12.85629,80.17211,,1542.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.78,2017-11-01,81.0 °C,,37201.72,12.99,15,09:27:31,1.0,10,8.0,15.0,0.0,0.0,2017-11-01 09:27:31,9.0,1,2.0,1.0,,196,1017.52,0.0,1,12.85623,80.17211,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Kamakoti Nagar, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,82.0 °C,,37201.95,13.18,54,09:27:58,1.0,10,19.0,9.0,0.0,0.0,2017-11-01 09:27:58,39.0,1,2.0,1.0,,189,1017.52,0.0,1,12.85353,80.17135,,1220.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Kamakoti Nagar, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,86.0 °C,,37202.41,13.07,47,09:28:27,1.0,10,19.0,7.0,12.62,1.0,2017-11-01 09:28:27,-7.0,1,2.0,1.0,,190,1017.53,0.0,1,12.84966,80.1707,,1156.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.78,2017-11-01,88.0 °C,,37202.72,13.02,10,09:28:51,1.0,10,7.0,9.0,0.57,1.0,2017-11-01 09:28:51,-37.0,1,2.0,1.0,,183,1017.54,0.0,1,12.84701,80.17026,,1092.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.78,2017-11-01,89.0 °C,,37203.03,13.04,61,09:29:20,1.0,10,4.0,11.0,0.0,0.0,2017-11-01 09:29:20,51.0,1,2.0,1.0,,187,1017.55,0.0,1,12.84361,80.17006,61 > 55,1734.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.78,2017-11-01,91.0 °C,,37203.19,13.04,55,09:29:27,1.0,10,19.0,11.0,17.29,1.0,2017-11-01 09:29:27,-6.0,1,2.0,1.0,,179,1017.55,0.0,1,12.84263,80.16997,,1349.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Kamakoti Nagar, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,93.0 °C,,37203.53,13.02,47,09:29:50,1.0,10,13.0,14.0,12.62,1.0,2017-11-01 09:29:50,-8.0,1,2.0,1.0,,190,1017.55,0.0,1,12.83935,80.16998,,1156.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,93.0 °C,,37203.67,12.93,51,09:29:56,1.0,10,13.0,15.0,0.0,0.0,2017-11-01 09:29:56,4.0,1,2.0,1.0,,199,1017.56,0.0,1,12.83864,80.16978,,1156.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,93.0 °C,,37203.67,12.83,42,09:29:58,1.0,10,13.0,14.0,10.08,1.0,2017-11-01 09:29:58,-9.0,1,2.0,1.0,,210,1017.56,0.0,1,12.83846,80.1697,,1156.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,93.0 °C,,37203.67,12.88,41,09:30:00,1.0,10,13.0,15.0,9.61,1.0,2017-11-01 09:30:00,-1.0,1,2.0,1.0,,218,1017.56,0.0,1,12.83829,80.16957,,1156.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,93.0 °C,,37203.81,13.02,9,09:30:05,1.0,10,13.0,15.0,0.46,1.0,2017-11-01 09:30:05,-32.0,1,2.0,1.0,,208,1017.56,0.0,1,12.83802,80.16936,,1156.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,93.0 °C,,37203.81,12.93,9,09:30:06,1.0,10,13.0,15.0,0.0,0.0,2017-11-01 09:30:06,0.0,1,2.0,1.0,,199,1017.56,0.0,1,12.83797,80.16934,,1156.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,94.0 °C,,37203.81,12.88,9,09:30:07,1.0,10,20.0,14.0,0.0,0.0,2017-11-01 09:30:07,0.0,1,2.0,1.0,,189,1017.56,0.0,1,12.83791,80.16934,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,94.0 °C,,37203.81,12.96,23,09:30:09,1.0,10,20.0,15.0,0.0,0.0,2017-11-01 09:30:09,14.0,1,2.0,1.0,,181,1017.56,0.0,1,12.83779,80.16934,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,94.0 °C,,37203.87,12.93,29,09:30:12,1.0,10,20.0,14.0,0.0,0.0,2017-11-01 09:30:12,6.0,1,2.0,1.0,,191,1017.56,0.0,1,12.83757,80.16931,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,94.0 °C,,37203.87,12.96,22,09:30:16,1.0,10,20.0,14.0,2.77,1.0,2017-11-01 09:30:16,-7.0,1,2.0,1.0,,206,1017.56,0.0,1,12.83735,80.16922,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,94.0 °C,,37203.87,12.83,22,09:30:18,1.0,10,20.0,15.0,0.0,0.0,2017-11-01 09:30:18,0.0,1,2.0,1.0,,214,1017.56,0.0,1,12.8373,80.1692,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.78,2017-11-01,94.0 °C,,37203.87,12.69,24,09:30:20,1.0,10,20.0,15.0,0.0,0.0,2017-11-01 09:30:20,2.0,1,2.0,1.0,,223,1017.56,0.0,1,12.83718,80.16908,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,94.0 °C,,37203.93,12.1,14,09:30:22,1.0,10,20.0,15.0,1.12,1.0,2017-11-01 09:30:22,-10.0,1,2.0,1.0,,233,1017.56,0.0,1,12.83715,80.16904,,899.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,95.0 °C,,37203.93,13.1,9,09:30:27,1.0,10,14.0,17.0,0.46,1.0,2017-11-01 09:30:27,-5.0,1,2.0,1.0,,213,1017.56,0.0,1,12.83702,80.16889,,963.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,95.0 °C,,37203.93,13.02,20,09:30:29,1.0,10,14.0,20.0,0.0,0.0,2017-11-01 09:30:29,11.0,1,2.0,1.0,,201,1017.56,0.0,1,12.83693,80.16886,,963.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,95.0 °C,,37203.97,12.93,22,09:30:34,1.0,10,14.0,23.0,0.0,0.0,2017-11-01 09:30:34,2.0,1,2.0,1.0,,194,1017.57,0.0,1,12.83672,80.16879,,963.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,95.0 °C,,37204.04,13.02,8,09:30:46,1.0,10,14.0,23.0,0.37,1.0,2017-11-01 09:30:46,-14.0,1,2.0,1.0,,203,1017.57,0.0,1,12.83622,80.16862,,963.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Kamakoti Nagar, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,96.0 °C,,37204.04,12.85,20,09:30:49,1.0,10,13.0,24.0,0.0,0.0,2017-11-01 09:30:49,12.0,1,2.0,1.0,,214,1017.57,0.0,1,12.83609,80.16855,,835.0,42.19000000000233,18.67000000000553
"Medavakkam Mambakkam Road, Chengalpattu, Tamil Nadu, India",Polo GT,3.8,2017-11-01,96.0 °C,,37204.04,12.96,24,09:30:50,1.0,9,13.0,23.0,0.0,0.0,2017-11-01 09:30:50,4.0,1,2.0,1.0,,229,1017.57,0.0,1,12.83602,80.16847,,835.0,42.19000000000233,18.67000000000553
